id,name,address,city,state,postal_code
--g-a85VwrdZJNf0R95GcQ,"Kabab House","3510 E Bell Rd, Ste 3",Phoenix,AZ,85032
-050d_XIor1NpCuWkbIVaQ,"Matt's Big Breakfast","801 N 1st St",Phoenix,AZ,85004
-0aIra_B6iALlfqAriBSYA,Tea2go,"5415 E High St, Ste 103",Phoenix,AZ,85054
-0tgMGl7D9B10YjSN2ujLA,Dubliner,"3841 E Thunderbird Rd, Ste 111",Phoenix,AZ,85032
-0WegMt6Cy966qlDKhu6jA,"Game Seven Grill","201 S 4th St",Phoenix,AZ,85034
-1UMR00eXtwaeh59pEiDjA,"Matt's Big Breakfast","3800 E Sky Harbor Blvd, Terminal 4, Gate B5",Phoenix,AZ,85034
-2isRNVb6PDuBagELL5EBw,"Taco Bell","3507 W. Peoria Ave.",Phoenix,AZ,85029
-8JaNeG3etLgOVyg2gOIiA,"La Fontanella Restaurant","4231 E Indian School Rd",Phoenix,AZ,85018
-9eNGMp8XiygI8t8QFuFWw,"The Melting Pot","3626 E Ray Rd",Phoenix,AZ,85044
-A9sm-E6uQxWTJ_MuyOzFw,"Zen 32","3160 E Camelback Rd",Phoenix,AZ,85016
-ayZoW_iNDsunYXX_0x1YQ,"Standard Restaurant Supply","2922 E McDowell Rd",Phoenix,AZ,85008
-Bdw-5H5C4AYSMGnAvmnzw,"Tuck Shop","2245 N 12th St",Phoenix,AZ,85006
-bMZCfTK7fxFaURynKpBMA,"Mariscos Playa Hermosa","1605 E Garfield St",Phoenix,AZ,85006
-Bo1rsE6Mfn0wdqnIj3GSA,"Taquizas Kabronis","15645 N 35th Ave",Phoenix,AZ,85053
-BxWyEIQ6wypT-37MzZizQ,"Carly's Bistro","128 E Roosevelt St",Phoenix,AZ,85004
-CNXJkqeJmLDvmTxGmOVww,"Circle K","2311 W Deer Valley Rd",Phoenix,AZ,85073
-d1xHUrLRbfJNqd5A_uP6A,"The Good Egg - Uptown","50 E Camelback Rd",Phoenix,AZ,85012
-dgUbX_lFqklJuf29A7piQ,"Matador Restaurant","125 E Adams St",Phoenix,AZ,85004
-DrDzpZaMrNnH55ZVyTXRQ,"Black Chile Mexican Grill","2502 E Camelback Rd",Phoenix,AZ,85016
-Du1WSRseqUXbCt_K-D-ww,"Cousins Subs","4801 E Washington St, Ste 1",Phoenix,AZ,85034
-DUbOEoenPbeJu35e9Ukrg,"99 Cents Only Stores","7830 N 12th St",Phoenix,AZ,85020
