,description,id,menu_item,price,rest_name
0,,1cl8ti5S8cJLHGetUe_s6w,Canned Soda,$1.10,Bubba Phatz
1,,1cl8ti5S8cJLHGetUe_s6w,Bottled Water,$1.10,Bubba Phatz
2,,1cl8ti5S8cJLHGetUe_s6w,Snapple,$2.50,Bubba Phatz
3,Includes two sides.,1cl8ti5S8cJLHGetUe_s6w,Baby Back Ribs,$13.00+,Bubba Phatz
4,Includes two sides.,1cl8ti5S8cJLHGetUe_s6w,Brisket,$11.99,Bubba Phatz
5,Includes two sides.,1cl8ti5S8cJLHGetUe_s6w,Pulled Pork,$10.99,Bubba Phatz
6,Includes two sides.,1cl8ti5S8cJLHGetUe_s6w,Pulled Chicken,$10.99,Bubba Phatz
7,Includes two sides.,1cl8ti5S8cJLHGetUe_s6w,2 Hot Links,$9.99,Bubba Phatz
8,Choice of one side.,1cl8ti5S8cJLHGetUe_s6w,3 Meat Trio,$18.99,Bubba Phatz
9,,1cl8ti5S8cJLHGetUe_s6w,Hot Link Sandwich,$4.99,Bubba Phatz
10,,1cl8ti5S8cJLHGetUe_s6w,Pulled Pork Sandwich,$5.99,Bubba Phatz
11,,1cl8ti5S8cJLHGetUe_s6w,Pulled Chicken Sandwich,$5.99,Bubba Phatz
12,,1cl8ti5S8cJLHGetUe_s6w,Brisket Sandwich,$6.99,Bubba Phatz
13,,1cl8ti5S8cJLHGetUe_s6w,Side Potato Salad,$2.25+,Bubba Phatz
14,,1cl8ti5S8cJLHGetUe_s6w,Side Mac and Cheese,$2.25+,Bubba Phatz
15,,1cl8ti5S8cJLHGetUe_s6w,Side Beans,$2.25+,Bubba Phatz
16,,1cl8ti5S8cJLHGetUe_s6w,Side Coleslaw,$2.25+,Bubba Phatz
17,,1cl8ti5S8cJLHGetUe_s6w,Side Mashed Spuds,$2.25+,Bubba Phatz
18,,1cl8ti5S8cJLHGetUe_s6w,Side Corn,$2.25+,Bubba Phatz
19,,1cl8ti5S8cJLHGetUe_s6w,Chips,$1.10,Bubba Phatz
20,"a crispy tortilla bowl filled with marinated all-white-meat chicken, and loaded with chunky beans, real cheddar cheese, seasoned rice, crisp shredded lettuce, diced ripe tomatoes, red tortilla strips, reduced fat sour cream and served with citrus salsa on the side.",1Dfx3zM-rW4n-31KeC8sJg,Chicken Fiesta Taco Salad,,Taco Bell
21,"a crispy tortilla bowl filled with seasoned ground beef, seasoned rice, real cheddar cheese, hearty beans, crisp shredded lettuce, diced ripe tomatoes, red tortilla strips and reduced fat sour cream. citrus salsa served on the side.",1Dfx3zM-rW4n-31KeC8sJg,Fiesta Taco Salad,,Taco Bell
22,"a crispy tortilla bowl filled with carne asada steak, and loaded with chunky beans, real cheddar cheese, seasoned rice, crisp shredded lettuce, diced ripe tomatoes, red tortilla strips, reduced fat sour cream and served with citrus salsa on the side.",1Dfx3zM-rW4n-31KeC8sJg,Steak Fiesta Taco Salad,,Taco Bell
23,"a warm, soft flour tortilla filled with crispy potato bites, pepper jack sauce, crisp shredded lettuce, and real cheddar cheese.",1Dfx3zM-rW4n-31KeC8sJg,Crispy Potato Soft Taco,,Taco Bell
