business_name,business_address,business_city,business_state,business_postal_code,inspection_date,inspection_score,violation_description,risk_category
Tiramisu Kitchen,033 Belden Pl,San Francisco,CA,94104,5/3/16 0:00,82,High risk vermin infestation,High Risk
Nrgize Lifestyle Cafe,"1200 Van Ness Ave, 3rd Floor",San Francisco,CA,94109,5/13/16 0:00,94,Unapproved or unmaintained equipment or utensils,Low Risk
OMNI S.F. Hotel - 2nd Floor Pantry,"500 California St, 2nd  Floor",San Francisco,CA,94104,3/11/16 0:00,96,Unclean or degraded floors walls or ceilings,Low Risk
Norman's Ice Cream and Freezes,2801 Leavenworth St,San Francisco,CA,94133,9/1/16 0:00,,,
CHARLIE'S DELI CAFE,3202 FOLSOM St,San Francisco,CA,94110,6/14/16 0:00,84,Unclean or degraded floors walls or ceilings,Low Risk
ART'S CAFE,747 IRVING St,San Francisco,CA,94122,6/30/16 0:00,94,,
SUSHI ZONE,1815  Market St.,San Francisco,CA,94103,6/14/16 0:00,80,No thermometers or uncalibrated thermometers,Low Risk
CAFE X + O,1799 Church St,San Francisco,CA,94131,10/20/16 0:00,,,
Oasis Grill,91 Drumm St,San Francisco,CA,94111,4/7/16 0:00,73,High risk food holding temperature,High Risk
Chowders,Pier 39  Space A3,San Francisco,CA,94133,7/8/16 0:00,94,Unclean nonfood contact surfaces,Low Risk
STARBUCKS,1800 IRVING St,San Francisco,CA,94122,9/2/16 0:00,100,,
Revolution Cafe,3248 22nd St,San Francisco,CA,94110,10/19/16 0:00,94,Unclean or degraded floors walls or ceilings,Low Risk
DINO'S UNCLE VITO,2101 Fillmore St,San Francisco,CA,94115,9/27/16 0:00,92,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk
OMNI S.F. Hotel - 3rd Floor Pantry,"500 California St, 3rd Floor",San Francisco,CA,94104,3/11/16 0:00,100,,
OMNI S.F. Hotel - Employee Cafeteria,"500 California St, Basement",San Francisco,CA,94104,3/11/16 0:00,91,High risk food holding temperature,High Risk
LAW SCHOOL CAFE,2199 Fulton St,San Francisco,CA,94117,4/12/16 0:00,98,Improper food storage,Low Risk
J.B.'S PLACE,1435 17th St,San Francisco,CA,94107,12/7/16 0:00,,,
Vega,419 CORTLAND Ave,San Francisco,CA,94110,8/29/16 0:00,,,
XOX Truffles,754 Columbus Ave,San Francisco,CA,94133,3/16/16 0:00,96,Inadequate food safety knowledge or lack of certified food safety manager,Moderate Risk
Cable Car Corner,1099 Powell St,San Francisco,CA,94108,5/25/16 0:00,98,Unclean or degraded floors walls or ceilings,Low Risk
Akiko's Sushi Bar,542A Mason St,San Francisco,CA,94102,11/3/16 0:00,85,Food safety certificate or food handler card not available,Low Risk
The Waterfront Restaurant,Pier 7 Embarcadero,San Francisco,CA,94111,6/10/16 0:00,,,
Centerfolds,391 Broadway St,San Francisco,CA,94133,5/20/16 0:00,92,Low risk vermin infestation,Low Risk
Broadway Dim Sum,684 Broadway St,San Francisco,CA,94133,5/10/16 0:00,,,
Silver Star Cafe and Deli,316 Pacific Ave,San Francisco,CA,94111,5/9/16 0:00,,Improper food storage,Low Risk
Cafe Madeleine,300 California St,San Francisco,CA,94104,4/14/16 0:00,85,Unclean or degraded floors walls or ceilings,Low Risk
AFC SUSHI @ MOLLIE STONE'S 2,2435 CALIFORNIA St,San Francisco,CA,94115,6/27/16 0:00,100,,
DEJA VU PIZZA & PASTA,3227 16th St,San Francisco,CA,94103,10/17/16 0:00,84,Moderate risk food holding temperature,Moderate Risk
BUS STOP PIZZA #1,256 Divisadero St,San Francisco,CA,94117,7/26/16 0:00,92,Insufficient hot water or running water,Moderate Risk
Ladle & Leaf,"50 Post St, 3rd Floor",San Francisco,CA,94104,11/10/16 0:00,87,Permit license or inspection report not posted,Low Risk
