CGO of the Quarter,CGOQ
CGO of the Year,CGOY
Captain,O-3
Deputy,Dep
Etcetera,etc
Fiscal Year,FY
Flight,Flt
Joint,Jnt
Junior Company Grade Officer,Jr CGO
Lieutenant,Lt
MAJCOM/NAF,Cmd
Operations,Ops
Plan,pln
President,Pres
Secretary of Defense,SecDef
Senior Company Grade Officer,Sr CGO
Standardization and Evaluation,stan/eval
additional,add'l
advancement,advncmnt
advisor,advsr
aeromedical evacuation,aeromed evac
air evacuation,AIREVAC
aircraft,acft
aircraft commander,AC
airfield,afld
airlift,alft
and,&
approve,apprv
approved,apprv'd
assessment,assmnt
assign,asgn
assignment,asgnmt
assist,asst
assisted,asst'd
association,assoc
authorized,auth
average,avg
award,awd
between,btwn
billion,B
board,bd
branch,Br
briefs,brfs
cannibalization,CANN
cargo,cgo
casualty report,CASREP
center,ctr
central,cntrl
certification,cert
certified,cert'd
change,chg
checklist,cklst
chief,Ch
civilian,civ
clearance,clrnc
combat,cmbt
command,cmd
commanded,CC'd
commander,CC
committee,cmte
control,ctrl
coordinate,coord
coordinated,coord'd
course,crs
crewmembers,crewmbrs
decision,dcsn
delivered,dlvr'd
department,dept
develop,dvlp
development,dvlpmnt
division,div
double,dbl
emergency,emer
engineer,engnr
engines,engs
enlisted,enl
environment,enviro
equipment,eqpmt
estimate,est
evaluation,eval
excellence,excel
exercise,ex
feet,ft
field,fld
flight,flt
forward,fwd
government,gov't
graduate,grad
greater than,>
ground,grnd
group,gp
headquarters,HQ
heavy,hvy
high visibility,hi-vis
highway,hwy
hours,hrs
hurricane evacuation,HUREVAC
identified,ID'd
identify,ID
indoctrination,indoc
inspection,insp
instructor,instr
international,int'l
leader,ldr
leadership,ldrshp
less than,<
letter,ltr
level,lvl
maintenance,mx
malfunction,malfunc
manage,mng
managed,mng'd
management,mgmt
manager,mgr
manpower,mnpwr
maximum,max
medical,med
medical evacuation,medevac
member,mbr
members,mbrs
message,msg
million,M
mission,msn
mission commander,Msn/CC
month,mo
months,mos
movement,mvmt
multinational,multinat'l
multiservice,multisvc
national,nat'l
navigator,nav
nomination,nom
officer,ofcr
on or about,o/a
operations,ops
opportunities,opps
opportunity,opp
organization,org
package,pkg
passenger,PAX
passengers,pax
patient,pt
personnel,prsnl
pilot,plt
plan,pln
planner,plnr
planning,plng
population,pop
position,psn
power,pwr
practice,prac
preparation,prep
process,prcs
processed,prcs'd
professional,prof
program,pgm
project,proj
projected,prjct'd
promotion,promo
promotions,promos
publications,pubs
quality,qual
quality of life,QoL
quarter,qtr
quarterly,qtrly
ready,rdy
received,rcvd
receivers,rcvrs
recommendation,rec
record,rcrd
report,rpt
reported,rpt'd
reporting,rpt'g
representative,rep
requalify,requal
requirement,rqmt
requirements,rqmts
resolution,res
response,resp
review,rvw
reviewed,rvw'd
runway,rwy
runways,rwys
savings,svgs
schedule,sched
select Spec,sel
senior,sr
service,svc
services,svcs
services squadron,svs
simulator,sim
special Operations,Ops
special operations,Spec Ops
squadron,sq
staff,staff
standard,std
standardization,stan
support,spt
supported,spt'd
surgery,surg
system,sys
tactical,tac
tanker,tnkr
target,tgt
team,tm
technical,tech
thousands,K
through,thru
trained,trn'd
training,tng
transfer,xfer
travel,tvl
twice,2x
university,univ
vehicle,veh
visibility,vis
weapon,wpn
weather,wx
week,wk
weekly,wkly
wing,wg
with,w/
within,w/in
without,w/o
worked,wrk'd
working,wrk'g
yard,yrd
yards,yrds
year,yr
