Definition,Acronym
analysis and production,A&P
"director of manpower, personnel, and services (Air Force) ",A-1
intelligence staff officer (Air Force),A-2
operations directorate (COMAFFOR staff); operations staff officer (Air Force),A-3
director of logistics (Air Force),A-4
plans directorate (COMAFFOR staff),A-5
communications staff officer (Air Force),A-6
director of installations and mission support (Air Force),A-7
Analytic Space,A-Space
arrival/departure airfield control group,A/DACG
ammunition/explosives,A/E
anti-spoofing,A/S
antiaccess,A2
assessment agent; avenue of approach,AA
"arms, ammunition, and explosives",AA&E
antiaircraft artillery; arrival and assembly area,AAA
American Association of Blood Banks,AABB
"activity address code	",AAC
arrival airfield control group,AACG
area air defense commander,AADC
area air defense plan,AADP
Army and Air Force Exchange Service,AAFES
amphibious assault fuel system,AAFS
aeronautical assignment group,AAG
Army air-ground system,AAGS
air-to-air missile,AAM
Army air and missile defense command,AAMDC
arrival and assembly operations group,AAOG
Allied administrative publication,AAP
after action report; after action review; air-to-air refueling area,AAR
amphibious air traffic control center,AATCC
amphibious assault vehicle,AAV
air base ,AB
"American, British, Canadian, Australian, and New Zealand",ABCA
Army Battle Command System,ABCS
armored brigade combat team,ABCT
advanced base functional component,ABFC
aerial bulk fuel delivery system,ABFDS
air base ground defense,ABGD
airborne laser,ABL
amphibious bulk liquid transfer system,ABLTS
air battle plan,ABP
aircraft,A/C
Active Component,AC
airspace command and control,AC2
airlift clearance authority; airspace control authority; airspace coordination area,ACA
amphibious construction battalion,ACB
Air Combat Command; area coordination center,ACC
air component coordination element,ACCE
automated cargo documentation,ACD
Allied Command Europe; aviation combat element (USMC),ACE
automated communications-electronics operating instructions,ACEOI
acoustic intelligence,ACINT
allowable cabin load,ACL
airspace coordinating measure,ACM
administrative contracting officer; airspace control order,ACO
assistant chief of staff,ACOS
airspace control plan; Allied communications publication,ACP
air-capable ship; airspace control system,ACS
acquisition and cross-servicing agreement,ACSA
advance civilian team; Allied Command Transformation,ACT
assault craft unit,ACU
air defense; area denial; automatic distribution,AD
air defense artillery; Antideficiency Act,ADA
air defense artillery fire control officer,ADAFCO
air defense airspace management,ADAM
air defense airspace management/brigade aviation element,ADAM/BAE
Allied Deployment and Movement System,ADAMS
air defense commander; area damage control,ADC
administrative control,ADCON
airdrop damage estimate,ADE
air defense identification zone,ADIZ
air defense measure,ADM
active duty for operational support,ADOS
Army doctrine publication; automated data processing,ADP
airfield damage repair,ADR
Army doctrine reference publication,ADRP
air defense section; air defense sector; amphibian discharge site; authoritative data source,ADS
active duty for training,ADT
"Assistant Deputy Under Secretary of Defense, Transportation Policy",ADUSD(TP)
advanced echelon,ADVON
air defense warning condition,ADWC
amphibious defense zone,ADZ
