Acronym,Definition
A&P,analysis and production
A-1,"director of manpower, personnel, and services (Air Force) "
A-2,intelligence staff officer (Air Force)
A-3,operations directorate (COMAFFOR staff)
A-4,director of logistics (Air Force)
A-5,plans directorate (COMAFFOR staff)
A-6,communications staff officer (Air Force)
A-7,director of installations and mission support (Air Force)
A-Space,Analytic Space
A/DACG,arrival/departure airfield control group
A/E,ammunition/explosives
A/S,anti-spoofing
A2,antiaccess
AA,assessment agent
AA&E,"arms, ammunition, and explosives"
AAA,antiaircraft artillery
AABB,American Association of Blood Banks
AAC,"activity address code	"
AACG,arrival airfield control group
AADC,area air defense commander
AADP,area air defense plan
AAFES,Army and Air Force Exchange Service
AAFS,amphibious assault fuel system
AAG,aeronautical assignment group
AAGS,Army air-ground system
AAM,air-to-air missile
AAMDC,Army air and missile defense command
AAOG,arrival and assembly operations group
AAP,Allied administrative publication
AAR,after action report
AATCC,amphibious air traffic control center
AAV,amphibious assault vehicle
AB,air base 
ABCA,"American, British, Canadian, Australian, and New Zealand"
ABCS,Army Battle Command System
ABCT,armored brigade combat team
ABFC,advanced base functional component
ABFDS,aerial bulk fuel delivery system
ABGD,air base ground defense
ABL,airborne laser
ABLTS,amphibious bulk liquid transfer system
ABP,air battle plan
A/C,aircraft
AC,Active Component
AC2,airspace command and control
ACA,airlift clearance authority
ACB,amphibious construction battalion
ACC,Air Combat Command
ACCE,air component coordination element
ACD,automated cargo documentation
ACE,Allied Command Europe
ACEOI,automated communications-electronics operating instructions
ACINT,acoustic intelligence
ACL,allowable cabin load
ACM,airspace coordinating measure
ACO,administrative contracting officer
ACOS,assistant chief of staff
ACP,airspace control plan
ACS,air-capable ship
ACSA,acquisition and cross-servicing agreement
ACT,advance civilian team
ACU,assault craft unit
AD,air defense
ADA,air defense artillery
ADAFCO,air defense artillery fire control officer
ADAM,air defense airspace management
ADAM/BAE,air defense airspace management/brigade aviation element
ADAMS,Allied Deployment and Movement System
ADC,air defense commander
ADCON,administrative control
