,Lat,Lon,Crime_Type,Weapon,Time
0,37.7721234,-122.4052935,"murder,assault",gun,2017-07-06 21:34:24+00:00
1,37.75173570000001,-122.4061682,"rape,assault",,2017-07-05 22:33:21+00:00
2,40.8580946,-73.90192440000001,"robbery,murder,assault",gun,2017-07-05 11:27:26+00:00
3,37.7633751,-122.203365,murder,gun,2017-07-05 01:53:24+00:00
4,38.00413629999999,-121.7876798,"robbery,murder",gun,2017-07-04 23:07:28+00:00
5,37.7481323,-122.4035537,"murder,assault",gun,2017-06-26 20:07:16+00:00
6,37.2522766,-121.8046916,"theft,assault",,2017-06-24 02:07:57+00:00
7,37.3918919,-121.849387,"theft,assault",,2017-06-24 02:07:57+00:00
8,37.3378318,-121.831178,"theft,assault",,2017-06-24 02:07:57+00:00
9,37.2503327,-121.8666347,,,2017-06-22 14:12:20+00:00
10,37.9309981,-121.6906782,murder,gun,2017-06-22 12:02:29+00:00
11,37.5929144,-122.0276338,,,2017-06-15 16:47:35+00:00
12,37.7652233,-122.4060115,"murder,assault",gun,2017-06-14 16:12:58+00:00
13,37.7652233,-122.4060115,"murder,assault",gun,2017-06-14 16:12:58+00:00
14,37.7928294,-122.3978806,"murder,assault",gun,2017-06-14 16:12:58+00:00
15,37.7652233,-122.4060115,murder,gun,2017-06-14 18:14:54+00:00
16,37.7652233,-122.4060115,murder,gun,2017-06-14 18:14:54+00:00
17,37.7818047,-122.4093351,murder,,2017-06-13 02:55:14+00:00
18,38.3502,-122.714637,"rape,assault",,2017-06-12 22:56:40+00:00
19,37.7267214,-122.4359666,murder,,2017-06-12 18:14:32+00:00
20,37.3183581,-121.883228,,bomb,2017-06-09 03:33:11+00:00
21,37.8200459,-122.28117179999998,murder,gun,2017-06-08 23:53:54+00:00
22,37.8660781,-122.2570538,murder,,2017-06-07 22:35:14+00:00
23,34.1158106,-117.2787864,murder,,2017-06-06 14:51:39+00:00
24,34.0515885,-117.3060533,murder,,2017-06-06 14:51:39+00:00
25,39.95777620000001,-75.6028079,assault,,2017-06-05 18:58:04+00:00
26,38.0087925,-122.0945377,murder,gun,2017-06-01 13:14:20+00:00
27,38.3683486,-121.9563586,"murder,theft",gun,2017-05-29 11:21:28+00:00
28,37.72549220000001,-122.3854166,,,2017-05-24 18:52:16+00:00
29,37.79054230000001,-122.2200506,"murder,assault",gun,2017-05-25 05:01:19+00:00
30,37.79054230000001,-122.2200506,"murder,assault",gun,2017-05-24 20:52:36+00:00
31,39.95777620000001,-75.6028079,assault,,2017-05-23 18:31:13+00:00
32,37.73760410000001,-122.39897659999998,"robbery,murder,assault",gun,2017-05-22 11:23:38+00:00
33,37.6630019,-121.8499634,"murder,assault",gun,2017-05-21 01:26:48+00:00
34,37.45241160000001,-122.1853142,,,2017-05-17 02:01:39+00:00
35,37.78224480000001,-122.4097882,"murder,assault",gun,2017-05-11 00:21:04+00:00
36,37.7149279,-122.4590675,"murder,assault",gun,2017-05-10 20:02:01+00:00
37,37.56413999999999,-121.9659817,theft,,2017-05-08 19:24:13+00:00
38,37.32605059999999,-121.8203695,"robbery,murder,theft,assault",gun,2017-05-07 16:28:38+00:00
39,37.7784168,-122.4792639,"murder,assault,kidnap",gun,2017-05-08 01:38:06+00:00
40,38.32656400000001,-122.7053195,murder,gun,2017-05-06 21:46:20+00:00
41,37.7840296,-122.4082238,murder,gun,2017-05-04 22:04:36+00:00
42,37.7590151,-122.4955638,"murder,assault",gun,2017-05-02 15:47:33+00:00
43,37.7571556,-122.4955863,"murder,assault",gun,2017-05-02 04:24:50+00:00
44,37.4665341,-122.4277068,,,2017-05-01 22:14:05+00:00
45,38.0113629,-122.1104604,murder,gun,2017-04-28 21:26:24+00:00
46,37.9243657,-122.0746122,murder,gun,2017-04-28 14:40:33+00:00
47,37.9243657,-122.0746122,murder,gun,2017-04-28 14:40:33+00:00
48,33.90139420000001,-118.0510145,murder,gun,2017-04-26 16:02:54+00:00
49,37.7968043,-122.4227634,kidnap,,2017-04-25 02:15:18+00:00
50,37.7953248,-122.4366575,kidnap,,2017-04-24 21:35:46+00:00
51,37.7968043,-122.4227634,kidnap,,2017-04-24 21:35:46+00:00
52,37.7248407,-122.1571701,murder,gun,2017-04-20 16:56:24+00:00
53,36.74733670000001,-119.7982574,"murder,assault",gun,2017-04-18 20:48:15+00:00
54,40.7870959,-73.19153659999998,murder,,2017-04-17 20:41:35+00:00
55,38.3543282,-121.9717792,murder,gun,2017-04-14 12:31:20+00:00
56,37.7786446,-122.4317783,robbery,,2017-04-14 04:52:07+00:00
57,37.72288320000001,-122.3977036,,,2017-04-11 22:04:30+00:00
58,37.73855220000001,-122.1716477,,,2017-04-11 22:04:30+00:00
59,37.47180590000001,-122.1351058,assault,,2017-04-10 22:24:39+00:00
60,37.7809745,-122.4087337,murder,,2017-04-10 22:52:34+00:00
61,37.8042647,-122.2903881,,,2017-04-10 21:40:53+00:00
62,37.426587100000006,-122.170042,"rape,assault",,2017-04-08 22:22:48+00:00
63,37.426587100000006,-122.170042,"rape,assault",,2017-04-08 22:22:48+00:00
64,37.6323734,-122.46682520000002,murder,,2017-04-06 23:38:19+00:00
65,37.949879,-122.3388156,murder,gun,2017-04-06 04:27:49+00:00
66,37.949879,-122.3388156,murder,gun,2017-04-05 23:11:41+00:00
67,38.311389,-122.315976,murder,gun,2017-04-05 18:19:33+00:00
68,37.949879,-122.3388156,murder,gun,2017-04-05 04:03:09+00:00
69,37.949879,-122.3388156,murder,gun,2017-04-04 17:55:14+00:00
70,37.7132083,-122.4560834,"murder,assault",gun,2017-03-30 03:48:43+00:00
71,37.7132083,-122.4560834,murder,gun,2017-03-29 18:07:48+00:00
72,37.7691813,-122.4535616,"robbery,murder,assault",gun,2017-03-25 02:36:18+00:00
73,37.76452800000001,-122.4944108,murder,,2017-03-23 18:34:54+00:00
74,37.77751170000001,-122.4180795,,,2017-03-19 17:11:24+00:00
75,40.8284317,-73.86067990000002,"murder,rape,theft,assault",,2017-03-18 17:41:43+00:00
76,37.6657219,-122.0563117,"murder,theft,assault",gun,2017-03-15 22:38:48+00:00
77,37.8814172,-122.3033547,"murder,assault",gun,2017-03-16 03:03:55+00:00
78,37.6657219,-122.0563117,"robbery,murder,theft,assault",gun,2017-03-15 15:02:23+00:00
79,37.6676171,-122.0605503,murder,gun,2017-03-15 00:58:14+00:00
80,37.7608908,-122.4350262,,,2017-03-15 02:24:53+00:00
81,38.2851976,-122.2745664,"murder,assault",gun,2017-03-14 04:32:10+00:00
82,37.4807825,-122.23433090000002,murder,gun,2017-03-07 15:34:59+00:00
83,39.9233859,-75.29713290000002,assault,,2017-03-07 19:30:51+00:00
84,37.7726773,-122.1931099,"murder,assault",gun,2017-03-02 12:36:53+00:00
85,37.78509,-122.4111762,,,2017-03-02 01:47:26+00:00
86,37.78509,-122.4111762,,,2017-03-01 13:26:39+00:00
87,33.9784096,-118.2564514,,gun,2017-03-01 18:47:11+00:00
88,37.7245576,-122.3909651,murder,gun,2017-02-24 15:09:11+00:00
89,37.87166060000001,-122.30245,"murder,assault",gun,2017-02-24 00:47:35+00:00
90,37.8652699,-122.2967892,murder,gun,2017-02-22 02:07:54+00:00
91,37.8241174,-122.3753756,robbery,gun,2017-02-18 22:35:11+00:00
92,37.8292468,-122.3728378,robbery,gun,2017-02-18 22:35:11+00:00
93,37.8296518,-122.37563490000002,robbery,gun,2017-02-18 22:35:11+00:00
94,37.7691813,-122.4535616,"murder,assault",gun,2017-02-15 03:45:28+00:00
95,37.7691813,-122.4535616,"murder,assault",gun,2017-02-15 03:45:28+00:00
96,37.7669085,-122.1884912,murder,gun,2017-02-11 21:21:01+00:00
97,37.7482112,-122.1703593,murder,gun,2017-02-11 21:21:01+00:00
98,37.7592691,-122.3885425,murder,gun,2017-02-09 22:32:41+00:00
99,37.96316720000001,-122.3466955,murder,gun,2017-02-09 22:32:41+00:00
100,38.35183370000001,-121.9570558,murder,gun,2017-01-25 19:30:22+00:00
101,38.11321450000001,-122.25802240000002,murder,gun,2017-01-23 16:13:00+00:00
102,38.0076055,-121.788577,murder,gun,2017-01-18 14:49:16+00:00
103,37.3533922,-121.8004014,murder,gun,2017-01-13 19:22:39+00:00
104,38.35053610000001,-121.9758131,murder,gun,2017-01-12 22:43:51+00:00
105,38.7518061,-121.3585962,assault,,2017-01-12 21:22:40+00:00
106,37.7149279,-122.4590675,murder,gun,2017-01-06 14:00:14+00:00
107,37.7751719,-122.1754522,murder,gun,2017-01-06 05:03:58+00:00
108,37.7747179,-122.1746921,murder,gun,2017-01-06 05:03:58+00:00
109,37.8100769,-122.2806527,"murder,assault",gun,2017-01-05 20:55:32+00:00
110,38.45290380000001,-122.77122659999998,"robbery,theft",,2017-01-04 22:24:13+00:00
111,37.7310639,-122.3770862,murder,gun,2016-12-31 00:52:47+00:00
112,37.9385753,-122.0250404,"robbery,theft",,2016-12-28 23:29:09+00:00
113,37.7897071,-122.211048,murder,gun,2016-12-27 22:28:56+00:00
114,37.7750194,-122.4226219,murder,gun,2016-12-27 13:34:09+00:00
115,37.8013784,-122.4093961,theft,,2016-12-26 22:35:00+00:00
116,37.6551799,-122.4101558,"murder,assault",,2016-12-24 01:39:08+00:00
117,37.818219,-122.2558022,"murder,assault",gun,2016-12-23 03:32:28+00:00
118,38.1057582,-122.2093155,"robbery,murder",gun,2016-12-21 20:12:54+00:00
119,37.68813400000001,-122.48633999999998,"murder,assault",,2016-12-17 23:28:53+00:00
120,37.8098287,-122.2658323,theft,,2016-12-13 17:20:23+00:00
